search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep
Salus Trust,com.amplisoftware.salusTele,Salus,Amplisoftware Tecnologia LTDA,100+,,0,,Health & Fitness,True
Salus Trust,com.salus.health,Salus Health App,SalusHealth,100+,,0,,Health & Fitness,True
Mediplan Healthcare,com.app.mediplan.mediplan,MediPlan,Minderse,500+,,0,,Health & Fitness,True
AIICO Insurance,com.aiico.insurego,InsureGO,AIICO Insurance Plc,100+,,0,,Finance,True
Coronation Insurance,com.coronation.mobile,CoronationMB Mobile,CORONATION MERCHANT BANK,"1,000+",,0,,Finance,True
Mutual Benefits Assurance,com.mobile.mutualbenefits,Mutual Benefits,"Generations Gold, Inc.",500+,,0,,Lifestyle,True
Linkage Assurance,com.linkageassuranceplc.app,LinkageProtect,Linkage Assurance Plc,100+,,0,,Finance,True
Guinea Insurance,hobbiton.gari_client_app,Gari Motor Insurance,Hobbiton,"10,000+",,0,,Finance,True
Prestige Assurance,com.prestige.prestige_customer_app,Prestige Assurance Customer,Teesofttech,50+,,0,,Business,True
Prestige Assurance,com.prestige.agent,Prestige Assurance Agent,Teesofttech,10+,,0,,Business,True
Anchor Insurance Nigeria,com.anchor.insurance,Anchor Insurance,Anchor Insurance,100+,,0,,Finance,True
Anchor Insurance Nigeria,dev.khaldoun.anchor,Anchor,dev.MealTime,100+,,0,,Productivity,True
Veritas Kapital Assurance,com.VeritasCapitalFundManagement.ahapp,Veritas Capital App,"Veritas Capital Fund Management, L.L.C.",50+,,0,,Business,True
SUNU Assurances Nigeria,com.sunu.mysunu,MySUNU Assurances,SUNU DIGITECH,"50,000+",,0,,Finance,True
SUNU Assurances Nigeria,com.mysunu.bank,MySUNU Bank,SUNU DIGITECH,"10,000+",,0,,Finance,True
Royal Exchange Insurance,com.royalexchange.regic,Royal Exchange,MBR Computer Consultants,100+,,0,,Finance,True
KBL Insurance,com.lcode.kblmbank,KBL Mobile Plus,KARNATAKA BANK,"1,000,000+",,0,,Finance,True
African Alliance Insurance,dev.hobbiton.general_alliance_insurance,General Alliance Agents,Hobbiton,500+,,0,,Finance,True
Capital Express Assurance,com.soyebo.capitalexpress,Capital Express Agent App,capexappdev,100+,,0,,Finance,True
Capital Express Assurance,com.capitalexpress.agent,Capital Express Agent,Codeware Ltd.,100+,,0,,Travel & Local,True
Capital Express Assurance,com.capitalexpress.driver,Capital Express Driver,Codeware Ltd.,"1,000+",,0,,Travel & Local,True
NSIA Insurance Nigeria,com.nsiavie.nsiaaccess,NSIA Connect,NSIA ASSURANCES SA,"5,000+",,0,,Finance,True
NSIA Insurance Nigeria,com.smartaps.nsia_app,NSIA INVEST,NSIA ASSET,"100,000+",,0,,Finance,True
NSIA Insurance Nigeria,com.nsiabanque.mobibnq,NSIA Banque Direct,NSIA BANQUE,"100,000+",,0,,Finance,True
