search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep
Defence Health Maintenance,com.joinvoy.diagnostics,Do Health,Menwell Limited,"5,000+",,0,,Health & Fitness,False
Marina Medical HMO,com.healthspring.apprelease,Healthspring HMO Care,Health Insurance,"10,000+",,0,,Health & Fitness,False
Salus Trust,trustfitness.app.lenus,Trust Fitness,Trust Fitness,100+,,0,,Health & Fitness,False
Zenith Medicare,com.teamhealth.zenith,Zenith by TeamHealth,"Team Health, Inc","10,000+",,0,,Business,False
Zenith Medicare,com.nande.zenith,Zenith Card App,Zenith Card,"1,000+",,0,,Finance,False
Zenith Medicare,com.app.ufit365.zenith,Zenith,UPro365,"1,000+",,0,,Health & Fitness,False
Roding Healthcare,drpro.patient.app,DrPro Healthcare,DrPro,"10,000+",,0,,Health & Fitness,False
Mediplan Healthcare,com.medplan.medplan,Medplan,Medplan,100+,,0,,Health & Fitness,False
Oceanic Health Management,com.bigruby.OceanSmallHospitalDoctorWork,Ocean Small Hospital - Doctor,Big Ruby Studios,"5,000+",,0,,Educational,False
Wella Health Nigeria,com.walaa.cchi,Walaa Health,Walaa Cooperative Insurance Co,"5,000+",,0,,Finance,False
Wella Health Nigeria,com.sonarapp.health,Sonar - Health & Performance,"Sonar Health, Inc.","10,000+",,0,,Health & Fitness,False
AXA Mansard,com.axaassistance.cardmemberbenefits,AXA Cardmember Benefits,AXA Assistance US,"50,000+",,0,,Finance,False
AXA Mansard,com.agh.ipmi.prod,AXA - Global Healthcare,AXA - Global Healthcare,"10,000+",,0,,Finance,False
AXA Mansard,com.ejada.axaeg,MyAXA Egypt,AXA Egypt,"500,000+",,0,,Business,False
AIICO Insurance,com.aiconomy.aicomobileapp,aico,aico,100+,,0,,Business,False
Cornerstone Insurance,com.subsplash.thechurchapp.cornerstonechapel,Cornerstone Chapel,Subsplash Inc,"10,000+",,0,,Education,False
Cornerstone Insurance,com.apollos.cornerstonecommunitychurch,Cornerstone Wildomar,CORNERSTONE COMMUNITY CHURCH OF WILDOMAR,500+,,0,,Lifestyle,False
Consolidated Hallmark Insurance,com.bajaj.life,Bajaj Life Insurance,Bajaj Life Insurance Limited,"500,000+",,0,,Finance,False
Wapic Insurance,com.learnzapp.insurance,Insurance Exam Prep Pro,LearnZapp,"5,000+",,0,,Education,False
Wapic Insurance,com.infinityinsurance.mobile,Infinity Insurance,Infinity General Insurance Plc.,"1,000+",,0,,Business,False
NEM Insurance,mobi.nemi,Nemi,Nemi Mobility Solutions SL,"10,000+",,0,,Maps & Navigation,False
Mutual Benefits Assurance,com.mirae.investor.app,Mirae Asset Mutual Fund,MIRAE ASSET INVESTMENT MANAGERS (INDIA) PVT LTD,"500,000+",,0,,Finance,False
Sovereign Trust Insurance,com.trustcyprusinsurance.app,myTrust,Trust Insurance Cyprus,50+,,0,,Finance,False
Sovereign Trust Insurance,fr.e_trust,E-Trust,Gaspard Toussaint,"1,000+",,0,,Productivity,False
Lasaco Assurance,com.lasoco.lasoco_pp,lasoco app live sports plus hd,abshir somdomain,"10,000+",,0,,Sports,False
Lasaco Assurance,fr.llbaprofessional,Curacoro in French,Curacoro,500+,,0,,Shopping,False
Lasaco Assurance,com.lasco.ph,LASCO,Lasco Home,"50,000+",,0,,Tools,False
Linkage Assurance,com.linkk.in,Link-K TPA Insurance,Link-K TPA,100+,,0,,Health & Fitness,False
Linkage Assurance,com.magiclinks.android,MagicLinks,MagicLinks,"5,000+",,0,,Tools,False
Linkage Assurance,com.hydropods.mobileapp,Growlink,Growlink,"5,000+",,0,,Productivity,False
Regency Alliance Insurance,nl.lisa_is.alliance,Alliance App,LISA B.V.,"1,000+",,0,,Sports,False
Regency Alliance Insurance,com.zurich.riskgrading.whatif,Zurich Risk Advisor,Zurich Insurance Company Ltd.,"10,000+",,0,,Business,False
Guinea Insurance,com.cediguinee.guineestory,Guinea Story,CEDI Guinée,"5,000+",,0,,Education,False
Prestige Assurance,com.mypresitge,My Prestige App,Prestige Estates,"50,000+",,0,,Business,False
Universal Insurance Nigeria,ch.universal.app,Universal App,Universal Sounds,"1,000+",,0,,Social,False
Universal Insurance Nigeria,com.companyname.Unimovil,Universal Móvil Plus,Universal Group,"10,000+",,0,,Business,False
Staco Insurance,com.statrys.statrys,Statrys,Statrys Limited,"5,000+",,0,,Finance,False
Staco Insurance,com.mycasavi.stac,STAC,casavi GmbH,500+,,0,,Business,False
Staco Insurance,com.bigdavinci.MyTacoAI,MyTaco,BigDavinci,10+,,0,,Educational,False
Staco Insurance,com.univistainsurance.univista220,Univista,Univista Insurance,"50,000+",,0,,Business,False
Unitrust Insurance,io.ttutc.app,Unit Trust Corporation,Unit Trust Corporation,"10,000+",,0,,Business,False
Unitrust Insurance,tz.co.itrust.itrustfinance,iTrust Finance,ITRUST FINANCE LIMITED,"5,000+",,0,,Finance,False
Unitrust Insurance,com.utrustapp.retail,UTrust,UtrustPay,100+,,0,,Finance,False
Royal Exchange Insurance,com.p4b14aca104f.www,Insurance Exchange of America,Insurance Exchange of America,"5,000+",,0,,Shopping,False
Royal Exchange Insurance,vj.royal.insuranceapp,Royal Insurance,ROYAL INSURANCE,"1,000+",,0,,Business,False
Enterprise Life Nigeria,com.lifefitness.connect,Life Fitness Connect App,Life Fitness,"500,000+",,0,,Health & Fitness,False
African Alliance Insurance,com.itl.apps.uganda_app,Alliance Africa,Imatic Technologies Ltd.,100+,,0,,Business,False
African Alliance Insurance,com.nsar.africa24tvtt,MyAfrica24,Digital ANA,"5,000+",,0,,News & Magazines,False
Great Nigeria Insurance,finance.global.travel.niyo,Niyo: Global cards for travel,Finnew Solutions Pvt. Ltd.,"1,000,000+",,0,,Finance,False
Standard Alliance Insurance,com.standardinsurance,Standard Insurance,"Standard Insurance Co., Inc.","5,000+",,0,,Finance,False
Standard Alliance Insurance,uk.org.agindustries.checker,AIC Trade Assurance Checker,Consolidated Learning Inc,500+,,0,,Business,False
Standard Alliance Insurance,com.edurev.insurance,"Insurance Exam Prep: LIC,NIACL","EduRev: Learning, Mock Test & Exam Preparation App","5,000+",,0,,Education,False
Zenith Life Assurance,com.atrescode.life,AetherLife – MTG Life Counter,AetherLife,"10,000+",,0,,Tools,False
Nigerian Agricultural Insurance,com.swifttechnology.globalsmart,Global Smart Plus: Banking App,Global IME Bank Limited,"1,000,000+",,0,,Finance,False
Old Mutual Nigeria,com.app.oldmutual_ke,Old Mutual Invest,Old Mutual Investment Group (Kenya),"10,000+",,0,,Finance,False
Old Mutual Nigeria,com.oldmutual.pensions.app,My OldMutual GH,Old Mutual Ghana,"5,000+",,0,,Finance,False
Old Mutual Nigeria,com.ocft.dae,Old Mutual InteGreat,OLD MUTUAL LIFE ASSURANCE COMPANY,"10,000+",,0,,Finance,False
Tangerine General Insurance,com.tat.efig.live,EFI General Insurance,EXCELLENT FORTUNE DEVELOPMENT GROUP,"1,000+",,0,,Business,False
Heirs General Insurance,com.premierhealthinsurance.premierHealth,Premier Health Insurance,Premier Health Insurance,"1,000+",,0,,Health & Fitness,False
Heirs General Insurance,com.ageasfederal.customer,Ageas Federal Life Insurance,Ageas Federal Life Insurance Co. Ltd.,"10,000+",,0,,Finance,False
Prudential Zenith Life,com.prud.zm,Prudential Insurance - Zambia,Pru,"50,000+",,0,,Business,False
Law Union and Rock,com.app.smartlearning.lawwithtwins,Lawwithtwins,SYKhan,"1,000+",,0,,Education,False
Law Union and Rock,org.worldrugby.lawsofrugby,Laws of Rugby,World Rugby,"100,000+",,0,,Sports,False
Law Union and Rock,com.audiolawreader.app,US Law Reader App AI study aid,Ondrej Stanek,"10,000+",,0,,Books & Reference,False
Law Union and Rock,com.palmlaw.app,LawLink,Palmslaw Application,500+,,0,,Productivity,False
Noor Takaful,com.digicore.noortakaful,Raha: Ethical Insurance,NoorICT,100+,,0,,Finance,False
Noor Takaful,com.noor.app.noor,Noor,SuperWolf,100+,,0,,Productivity,False
Salam Takaful Nigeria,com.avolox.salaamtakaful,Salaam Takaful,Salaam Takaful,"100,000+",,0,,Business,False
Salam Takaful Nigeria,com.brightstartech.salamshadi,Salam APP | Award Winning,Bright Star Technology,"50,000+",,0,,Social,False
Casava insurance,com.chuuma.chuuma_mobile,Chuuma,Chuuma Labs,"1,000+",,0,,Finance,False
ETAP insure,com.nextzy.tipapp,TIP Insure,"Dhipaya Insurance Public Co., Ltd.","100,000+",,0,,Business,False
MyCoverGenius,com.theunitedinsurance.myuic,myUIC: General Insurance,United Software & Technologies International,"50,000+",,0,,Finance,False
MyCoverGenius,ai.mycover.songmaker,MyCover - AI Song Maker,3B AI Melody Studio,"10,000+",,0,,Music & Audio,False
MyCover ai insurance,com.mypolicydata.app,MyPolicyData AI Insurance CRM,MyPolicyData,"1,000+",,0,,Business,False
MyCover ai insurance,com.maytronics.mycover,MyCover,MaytronicsApps,"5,000+",,0,,House & Home,False
Octamile,io.automile.automilepro,Automile,Automile,"50,000+",,0,,Business,False
Octamile,com.aihackathonkarisacikartim.god2,Octa: AI Song & Music Maker,Octaverum,"1,000+",,0,,Music & Audio,False
Octamile,com.octaplus.app,Octaplus App,Rx Health Info Systems,50+,,0,,Health & Fitness,False
Octamile,com.octagonafrica.octagon_africa,Octagon Africa,Octagon Africa Financial Services Ltd,"1,000+",,0,,Finance,False
Curacel,com.autoelex.curadle,Curadle Care,Autoelex,50+,,0,,Lifestyle,False
Curacel,com.curalinc.mycuralinc,MyCuraLinc,CuraLinc Healthcare,"5,000+",,0,,Health & Fitness,False
Bluewave insurance,com.buuuk.globalblue,Global Blue – Shop Tax Free,Global Blue SA,"1,000,000+",,0,,Travel & Local,False
Turaco insurance,pl.trco,TRCO,TRCO,"1,000+",,0,,Travel & Local,False
Gari motor insurance,com.godigit.digit,Digit Insurance,Digit Insurance,"5,000,000+",,0,,Finance,False
Hobbiton insurance,hobbiton_tech.inshuwa_clients_app.nico,NICO Insurance Zambia,Hobbiton,"1,000+",,0,,Finance,False
MyNHIA,com.nmc.app.main,NMC MyHealth,NMC Assetco LTD,"100,000+",,0,,Health & Fitness,False
National Health Insurance Authority,com.ngiapp,NGI Health,NATIONAL GENERAL INSURANCE COMPANY (PJSC),"10,000+",,0,,Lifestyle,False
National Health Insurance Authority,com.hisptz.org.mobile.dashboard.nhp,National Health Portal,THE REGISTERED TRUSTEES OF HISP TANZANIA,"10,000+",,0,,Productivity,False
motor insurance Nigeria,com.metrotrainbookinginindia,Vehicle Insurance Status Check,Nrspv Labs,"10,000+",,0,,Education,False
life insurance Nigeria,com.cargoteleport.lifelic,Life Insurance License Prep,Cargo Teleport,100+,,0,,Education,False
insurance claim Nigeria,com.gasanmamo.claims,Claim Easy,GasanMamo Insurance Ltd.,"1,000+",,0,,Business,False
medical insurance Nigeria,com.itf.EPP,EPP Medical Insurance,IT-Fusion,10+,,0,,Medical,False
travel insurance Nigeria,com.freely.prod,Freely Travel Insurance,Cover-More,"50,000+",,0,,Travel & Local,False
