search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep,role
SUNU Assurances Nigeria,com.suno.android,Suno - AI Music & Songs Maker,"Suno, Inc","10,000,000+",2041066.0,7119,4.607931,Music & Audio,False,not_ng_insurance
Allianz Nigeria,com.azure.authenticator,Microsoft Authenticator,Microsoft Corporation,"100,000,000+",2731201.0,5274,4.677852,Business,False,not_ng_insurance
Fin Insurance Nigeria,com.prestmit,Prestmit: Gift Cards & Crypto,Prestmit,"500,000+",11880.0,5001,4.55074,Finance,False,not_ng_insurance
Novo Health Africa,com.google.android.apps.magazines,Google News - Daily Headlines,Google LLC,"1,000,000,000+",1960591.0,2667,4.559033,News & Magazines,False,not_ng_insurance
Jaiz Takaful,com.jaizbank.app,Jaiz Mobile Plus,Jaiz Bank Plc,"1,000,000+",5244.0,2235,3.49,Finance,False,not_ng_insurance
buy insurance Nigeria,ng.giglogistics.giglgo,GIGGO,GIG Logistics,"500,000+",3701.0,1571,3.7928994,Business,False,not_ng_insurance
third party insurance Nigeria,com.ng.con.loan.fast.simple,FastFund - Efficient & Trusted,CONRADO LENDING LIMITED,"500,000+",9472.0,1550,4.3808374,Finance,False,not_ng_insurance
Turaco insurance,ng.kobogo.mobile,KoboGo,KoboGo,"1,000,000+",2125.0,1493,3.1698112,Finance,False,not_ng_insurance
buy insurance Nigeria,com.p2vest,P2Vest - Loan & Insurance App,P2Vest Technology Limited,"100,000+",2155.0,1404,3.762136,Finance,False,not_ng_insurance
Zenith Life Assurance,com.invoiceapp,Simple Invoice Manager,Tacktile Systems Private Limited,"5,000,000+",36402.0,1339,4.728155,Business,False,not_ng_insurance
International Energy Insurance,com.ist.irecharge,iRecharge,Infostrategy Technology,"100,000+",2412.0,1231,3.9868996,Finance,False,not_ng_insurance
AIICO Multishield,network.optimai.edgenode,OptimAI Edge Node,OptimAI Network,"50,000+",18826.0,1163,4.366667,Finance,False,not_ng_insurance
PaddyCover,com.cousant.naijainvest,i-invest: Invest & Save,Parthian Partners,"100,000+",1958.0,1036,4.1213875,Finance,False,not_ng_insurance
Fin Insurance Nigeria,com.zenithbank.eazybyzenith,eaZy by Zenith Digital Wallet,Zenith Bank,"1,000,000+",2659.0,768,4.4573646,Finance,False,not_ng_insurance
Hygeia HMO,com.transsion.oraimohealth,oraimo health,ORAIMO TECHNOLOGY LIMITED,"1,000,000+",15875.0,754,4.4401913,Health & Fitness,False,not_ng_insurance
Old Mutual Nigeria,com.chd.investnaija.invest_naija,InvestNaija: Learn & Invest.,InvestIN LTD.,"500,000+",1373.0,739,3.5546875,Finance,False,not_ng_insurance
Custodian Insurance Nigeria,com.optimusng.mobile,PlutusNeo by Afrinvest,Andromeda Technology Solutions Ltd,"100,000+",1692.0,724,3.4591196,Finance,False,not_ng_insurance
Gari motor insurance,com.waze,Waze Navigation & Live Traffic,Waze,"500,000,000+",8895849.0,599,4.3986015,Maps & Navigation,False,not_ng_insurance
Universal Insurance Nigeria,com.nigeriapropertycentre.app,Nigeria Property Centre,Nigeria Property Centre,"100,000+",1221.0,532,4.01,Lifestyle,False,not_ng_insurance
Fin Insurance Nigeria,ng.sycamore.app2,Sycamore - Save Invest Borrow,Sycamore Integrated Solutions Limited,"100,000+",1255.0,492,4.4793386,Finance,False,not_ng_insurance
Tangerine Life,notion.id,"Notion: Notes, Tasks, AI","Notion Labs, Inc.","10,000,000+",377660.0,488,4.6590037,Productivity,False,not_ng_insurance
Guinea Insurance,com.remitly.androidapp,Remitly: Send Money & Transfer,Remitly,"10,000,000+",1590243.0,385,4.6646705,Finance,False,not_ng_insurance
Tangerine Life,co.uk.getmondo,Monzo Bank - Mobile Banking,Monzo,"10,000,000+",178748.0,314,4.7166667,Finance,False,not_ng_insurance
Sterling Assurance Nigeria,ng.sterling.bancabysterling,Banca by Sterling,Sterling Bank Plc,"100,000+",575.0,294,4.07,Finance,False,not_ng_insurance
Unitrust Insurance,com.ptb.mobile,PremiumTrust Mobile,PremiumTrust Bank,"100,000+",577.0,289,4.21,Finance,False,not_ng_insurance
Universal Insurance Nigeria,com.etranzact.mpbVerificationApp,MPB Verification,Military Pensions Board,"50,000+",458.0,262,3.61,Personalization,False,not_ng_insurance
Sterling Assurance Nigeria,ng.sterling.sterlingswitch,Switch by Sterling,Sterling Bank Plc,"50,000+",415.0,219,3.7603307,Finance,False,not_ng_insurance
FBN Insurance,com.fbn.FBNDirect,FBNDirect,FirstBank Nigeria,"100,000+",588.0,198,4.04,Finance,False,not_ng_insurance
