search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep,role
NHIA Nigeria,com.nhia.mobile.android,MyNHIA,NATIONAL HEALTH INSURANCE AUTHORITY.,"5,000+",,0,,Health & Fitness,False,consumer
Reliance Health HMO,com.healthnomics.app,Healthnomics HMO Mobile,Health Insurance,50+,,0,,Health & Fitness,False,not_ng_insurance
Total Health Trust,com.alarmnet.tc2,Total Connect 2.0,"Resideo Technologies, Inc.","1,000,000+",,0,,Lifestyle,False,not_ng_insurance
Novo Health Africa,com.novoinsure.eb,Novo insure,Cover Me Technology Private Limited,100+,,0,,Finance,False,not_ng_insurance
Novo Health Africa,com.healthx.app,HealthX Africa,HEALTHEX AFRICA LIMITED,"10,000+",,0,,Medical,False,not_ng_insurance
AIICO Multishield,com.switch.essential,Switch Essential Plus,Axiom by Tradeling,"5,000+",,0,,Health & Fitness,False,not_ng_insurance
Integrated Healthcare Nigeria,imchospital.com.pk.imc,Integrated Medical Care,Contech International,"1,000+",,0,,Health & Fitness,False,not_ng_insurance
Greenbay HMO,com.subsplashconsulting.s_3RR5N3,Green Bay XA,Northeast Wisconsin Chi Alpha,50+,,0,,Lifestyle,False,not_ng_insurance
Greenbay HMO,com.hmo.aspire,Aspire HMO,Health Insurance,10+,,0,,Health & Fitness,False,not_ng_insurance
Greenbay HMO,com.crownjewelhmo.mobile,Crown Jewel HMO,Crown Jewel HMO,500+,,0,,Health & Fitness,False,not_ng_insurance
Anchor HMO,com.hmo.ashmed,Ashmed HMO,Health Insurance,100+,,0,,Health & Fitness,False,not_ng_insurance
Princeton Health Nigeria,ai.mxlabs.shenHealth,Shen Health,Shen.AI,"1,000+",,0,,Health & Fitness,False,not_ng_insurance
United Healthcare International Nigeria,com.uhg.mobile.uhcglobal,UHC Global,"UNITED HEALTHCARE SERVICES, INC.","50,000+",,0,,Health & Fitness,False,not_ng_insurance
United Healthcare International Nigeria,com.itf.united,My United org,IT-Fusion,500+,,0,,Medical,False,not_ng_insurance
United Healthcare International Nigeria,com.united.uic,The United Insurance,The United Insurance Company,"10,000+",,0,,Finance,False,not_ng_insurance
Prepaid Medicare,com.pmg.publicmedicare,Public Medicare,PMG HEALTHCARE SDN BHD,"10,000+",,0,,Lifestyle,False,not_ng_insurance
Prepaid Medicare,net.medicarebd.app,Medicare,medicarebd Dev,"1,000+",,0,,Medical,False,not_ng_insurance
Prepaid Medicare,com.quest.hmo,Quest Medicare,Health Insurance,50+,,0,,Health & Fitness,False,not_ng_insurance
Prepaid Medicare,hms.custom.m1.prepaidPortal,M1 Prepaid,M1 Limited,"500,000+",,0,,Productivity,False,not_ng_insurance
Songhai Health Trust,com.healthassurMobile.app,Healthassur Mobile,Health Insurance,500+,,0,,Health & Fitness,False,not_ng_insurance
Wellness HMO Nigeria,dot.hmo2.mobile,Dot HMO Mobile,DOT HMO,"1,000+",,0,,Health & Fitness,False,not_ng_insurance
Venus Medicare,com.medm.fleming.health,Medicare LifeSense,Fleming Medical,"10,000+",,0,,Medical,False,not_ng_insurance
Venus Medicare,gov.va.mobileapp,VA: Health and Benefits,US Department of Veterans Affairs (VA),"1,000,000+",110012.0,0,4.8333335,Tools,False,not_ng_insurance
Police Health Maintenance,com.hg.titp,This Is the Police,HandyGames,"100,000+",,0,,Simulation,False,not_ng_insurance
Police Health Maintenance,com.crrepa.band.policelifestyle,POLICE FOT,International Luxury Group,"10,000+",,0,,Health & Fitness,False,not_ng_insurance
Defence Health Maintenance,com.joinvoy.diagnostics,Do Health,Menwell Limited,"5,000+",,0,,Health & Fitness,False,not_ng_insurance
Marina Medical HMO,com.healthspring.apprelease,Healthspring HMO Care,Health Insurance,"10,000+",,0,,Health & Fitness,False,not_ng_insurance
Salus Trust,trustfitness.app.lenus,Trust Fitness,Trust Fitness,100+,,0,,Health & Fitness,False,not_ng_insurance
Zenith Medicare,com.teamhealth.zenith,Zenith by TeamHealth,"Team Health, Inc","10,000+",,0,,Business,False,not_ng_insurance
Zenith Medicare,com.nande.zenith,Zenith Card App,Zenith Card,"1,000+",,0,,Finance,False,not_ng_insurance
Zenith Medicare,com.app.ufit365.zenith,Zenith,UPro365,"1,000+",,0,,Health & Fitness,False,not_ng_insurance
Roding Healthcare,drpro.patient.app,DrPro Healthcare,DrPro,"10,000+",,0,,Health & Fitness,False,not_ng_insurance
Mediplan Healthcare,com.medplan.medplan,Medplan,Medplan,100+,,0,,Health & Fitness,False,not_ng_insurance
Oceanic Health Management,com.bigruby.OceanSmallHospitalDoctorWork,Ocean Small Hospital - Doctor,Big Ruby Studios,"5,000+",,0,,Educational,False,not_ng_insurance
Wella Health Nigeria,com.walaa.cchi,Walaa Health,Walaa Cooperative Insurance Co,"5,000+",,0,,Finance,False,not_ng_insurance
Wella Health Nigeria,com.sonarapp.health,Sonar - Health & Performance,"Sonar Health, Inc.","10,000+",,0,,Health & Fitness,False,not_ng_insurance
AXA Mansard,com.axaassistance.cardmemberbenefits,AXA Cardmember Benefits,AXA Assistance US,"50,000+",,0,,Finance,False,not_ng_insurance
AXA Mansard,com.agh.ipmi.prod,AXA - Global Healthcare,AXA - Global Healthcare,"10,000+",,0,,Finance,False,not_ng_insurance
AXA Mansard,com.ejada.axaeg,MyAXA Egypt,AXA Egypt,"500,000+",,0,,Business,False,not_ng_insurance
AIICO Insurance,com.aiconomy.aicomobileapp,aico,aico,100+,,0,,Business,False,not_ng_insurance
Cornerstone Insurance,com.subsplash.thechurchapp.cornerstonechapel,Cornerstone Chapel,Subsplash Inc,"10,000+",,0,,Education,False,not_ng_insurance
Cornerstone Insurance,com.apollos.cornerstonecommunitychurch,Cornerstone Wildomar,CORNERSTONE COMMUNITY CHURCH OF WILDOMAR,500+,,0,,Lifestyle,False,not_ng_insurance
Consolidated Hallmark Insurance,com.bajaj.life,Bajaj Life Insurance,Bajaj Life Insurance Limited,"500,000+",,0,,Finance,False,not_ng_insurance
Wapic Insurance,com.learnzapp.insurance,Insurance Exam Prep Pro,LearnZapp,"5,000+",,0,,Education,False,not_ng_insurance
Wapic Insurance,com.infinityinsurance.mobile,Infinity Insurance,Infinity General Insurance Plc.,"1,000+",,0,,Business,False,not_ng_insurance
NEM Insurance,mobi.nemi,Nemi,Nemi Mobility Solutions SL,"10,000+",,0,,Maps & Navigation,False,not_ng_insurance
Mutual Benefits Assurance,com.mirae.investor.app,Mirae Asset Mutual Fund,MIRAE ASSET INVESTMENT MANAGERS (INDIA) PVT LTD,"500,000+",,0,,Finance,False,not_ng_insurance
Sovereign Trust Insurance,com.trustcyprusinsurance.app,myTrust,Trust Insurance Cyprus,50+,,0,,Finance,False,not_ng_insurance
Sovereign Trust Insurance,fr.e_trust,E-Trust,Gaspard Toussaint,"1,000+",,0,,Productivity,False,not_ng_insurance
Lasaco Assurance,com.lasoco.lasoco_pp,lasoco app live sports plus hd,abshir somdomain,"10,000+",,0,,Sports,False,not_ng_insurance
Lasaco Assurance,fr.llbaprofessional,Curacoro in French,Curacoro,500+,,0,,Shopping,False,not_ng_insurance
Lasaco Assurance,com.lasco.ph,LASCO,Lasco Home,"50,000+",,0,,Tools,False,not_ng_insurance
Linkage Assurance,com.linkk.in,Link-K TPA Insurance,Link-K TPA,100+,,0,,Health & Fitness,False,not_ng_insurance
Linkage Assurance,com.magiclinks.android,MagicLinks,MagicLinks,"5,000+",,0,,Tools,False,not_ng_insurance
Linkage Assurance,com.hydropods.mobileapp,Growlink,Growlink,"5,000+",,0,,Productivity,False,not_ng_insurance
Regency Alliance Insurance,nl.lisa_is.alliance,Alliance App,LISA B.V.,"1,000+",,0,,Sports,False,not_ng_insurance
Regency Alliance Insurance,com.zurich.riskgrading.whatif,Zurich Risk Advisor,Zurich Insurance Company Ltd.,"10,000+",,0,,Business,False,not_ng_insurance
Guinea Insurance,com.cediguinee.guineestory,Guinea Story,CEDI Guinée,"5,000+",,0,,Education,False,not_ng_insurance
Prestige Assurance,com.mypresitge,My Prestige App,Prestige Estates,"50,000+",,0,,Business,False,not_ng_insurance
Universal Insurance Nigeria,ch.universal.app,Universal App,Universal Sounds,"1,000+",,0,,Social,False,not_ng_insurance
Universal Insurance Nigeria,com.companyname.Unimovil,Universal Móvil Plus,Universal Group,"10,000+",,0,,Business,False,not_ng_insurance
Staco Insurance,com.statrys.statrys,Statrys,Statrys Limited,"5,000+",,0,,Finance,False,not_ng_insurance
Staco Insurance,com.mycasavi.stac,STAC,casavi GmbH,500+,,0,,Business,False,not_ng_insurance
Staco Insurance,com.bigdavinci.MyTacoAI,MyTaco,BigDavinci,10+,,0,,Educational,False,not_ng_insurance
Staco Insurance,com.univistainsurance.univista220,Univista,Univista Insurance,"50,000+",,0,,Business,False,not_ng_insurance
Unitrust Insurance,io.ttutc.app,Unit Trust Corporation,Unit Trust Corporation,"10,000+",,0,,Business,False,not_ng_insurance
Unitrust Insurance,tz.co.itrust.itrustfinance,iTrust Finance,ITRUST FINANCE LIMITED,"5,000+",,0,,Finance,False,not_ng_insurance
Unitrust Insurance,com.utrustapp.retail,UTrust,UtrustPay,100+,,0,,Finance,False,not_ng_insurance
Royal Exchange Insurance,com.p4b14aca104f.www,Insurance Exchange of America,Insurance Exchange of America,"5,000+",,0,,Shopping,False,not_ng_insurance
Royal Exchange Insurance,vj.royal.insuranceapp,Royal Insurance,ROYAL INSURANCE,"1,000+",,0,,Business,False,not_ng_insurance
Enterprise Life Nigeria,com.lifefitness.connect,Life Fitness Connect App,Life Fitness,"500,000+",,0,,Health & Fitness,False,not_ng_insurance
African Alliance Insurance,com.itl.apps.uganda_app,Alliance Africa,Imatic Technologies Ltd.,100+,,0,,Business,False,not_ng_insurance
African Alliance Insurance,com.nsar.africa24tvtt,MyAfrica24,Digital ANA,"5,000+",,0,,News & Magazines,False,not_ng_insurance
Great Nigeria Insurance,finance.global.travel.niyo,Niyo: Global cards for travel,Finnew Solutions Pvt. Ltd.,"1,000,000+",,0,,Finance,False,not_ng_insurance
Standard Alliance Insurance,com.standardinsurance,Standard Insurance,"Standard Insurance Co., Inc.","5,000+",,0,,Finance,False,not_ng_insurance
Standard Alliance Insurance,uk.org.agindustries.checker,AIC Trade Assurance Checker,Consolidated Learning Inc,500+,,0,,Business,False,not_ng_insurance
Standard Alliance Insurance,com.edurev.insurance,"Insurance Exam Prep: LIC,NIACL","EduRev: Learning, Mock Test & Exam Preparation App","5,000+",,0,,Education,False,not_ng_insurance
Zenith Life Assurance,com.atrescode.life,AetherLife – MTG Life Counter,AetherLife,"10,000+",,0,,Tools,False,not_ng_insurance
Nigerian Agricultural Insurance,com.swifttechnology.globalsmart,Global Smart Plus: Banking App,Global IME Bank Limited,"1,000,000+",,0,,Finance,False,not_ng_insurance
Old Mutual Nigeria,com.app.oldmutual_ke,Old Mutual Invest,Old Mutual Investment Group (Kenya),"10,000+",,0,,Finance,False,not_ng_insurance
Old Mutual Nigeria,com.oldmutual.pensions.app,My OldMutual GH,Old Mutual Ghana,"5,000+",,0,,Finance,False,not_ng_insurance
Old Mutual Nigeria,com.ocft.dae,Old Mutual InteGreat,OLD MUTUAL LIFE ASSURANCE COMPANY,"10,000+",,0,,Finance,False,not_ng_insurance
Tangerine General Insurance,com.tat.efig.live,EFI General Insurance,EXCELLENT FORTUNE DEVELOPMENT GROUP,"1,000+",,0,,Business,False,not_ng_insurance
Heirs General Insurance,com.premierhealthinsurance.premierHealth,Premier Health Insurance,Premier Health Insurance,"1,000+",,0,,Health & Fitness,False,not_ng_insurance
Heirs General Insurance,com.ageasfederal.customer,Ageas Federal Life Insurance,Ageas Federal Life Insurance Co. Ltd.,"10,000+",,0,,Finance,False,not_ng_insurance
Prudential Zenith Life,com.prud.zm,Prudential Insurance - Zambia,Pru,"50,000+",,0,,Business,False,not_ng_insurance
Law Union and Rock,com.app.smartlearning.lawwithtwins,Lawwithtwins,SYKhan,"1,000+",,0,,Education,False,not_ng_insurance
Law Union and Rock,org.worldrugby.lawsofrugby,Laws of Rugby,World Rugby,"100,000+",,0,,Sports,False,not_ng_insurance
Law Union and Rock,com.audiolawreader.app,US Law Reader App AI study aid,Ondrej Stanek,"10,000+",,0,,Books & Reference,False,not_ng_insurance
Law Union and Rock,com.palmlaw.app,LawLink,Palmslaw Application,500+,,0,,Productivity,False,not_ng_insurance
Noor Takaful,com.digicore.noortakaful,Raha: Ethical Insurance,NoorICT,100+,,0,,Finance,False,not_ng_insurance
Noor Takaful,com.noor.app.noor,Noor,SuperWolf,100+,,0,,Productivity,False,not_ng_insurance
Salam Takaful Nigeria,com.avolox.salaamtakaful,Salaam Takaful,Salaam Takaful,"100,000+",,0,,Business,False,not_ng_insurance
Salam Takaful Nigeria,com.brightstartech.salamshadi,Salam APP | Award Winning,Bright Star Technology,"50,000+",,0,,Social,False,not_ng_insurance
Casava insurance,com.chuuma.chuuma_mobile,Chuuma,Chuuma Labs,"1,000+",,0,,Finance,False,not_ng_insurance
ETAP insure,com.nextzy.tipapp,TIP Insure,"Dhipaya Insurance Public Co., Ltd.","100,000+",,0,,Business,False,not_ng_insurance
MyCoverGenius,com.theunitedinsurance.myuic,myUIC: General Insurance,United Software & Technologies International,"50,000+",,0,,Finance,False,not_ng_insurance
MyCoverGenius,ai.mycover.songmaker,MyCover - AI Song Maker,3B AI Melody Studio,"10,000+",,0,,Music & Audio,False,not_ng_insurance
MyCover ai insurance,com.mypolicydata.app,MyPolicyData AI Insurance CRM,MyPolicyData,"1,000+",,0,,Business,False,not_ng_insurance
MyCover ai insurance,com.maytronics.mycover,MyCover,MaytronicsApps,"5,000+",,0,,House & Home,False,not_ng_insurance
Octamile,io.automile.automilepro,Automile,Automile,"50,000+",,0,,Business,False,not_ng_insurance
Octamile,com.aihackathonkarisacikartim.god2,Octa: AI Song & Music Maker,Octaverum,"1,000+",,0,,Music & Audio,False,not_ng_insurance
Octamile,com.octaplus.app,Octaplus App,Rx Health Info Systems,50+,,0,,Health & Fitness,False,not_ng_insurance
Octamile,com.octagonafrica.octagon_africa,Octagon Africa,Octagon Africa Financial Services Ltd,"1,000+",,0,,Finance,False,not_ng_insurance
Curacel,com.autoelex.curadle,Curadle Care,Autoelex,50+,,0,,Lifestyle,False,not_ng_insurance
Curacel,com.curalinc.mycuralinc,MyCuraLinc,CuraLinc Healthcare,"5,000+",,0,,Health & Fitness,False,not_ng_insurance
Bluewave insurance,com.buuuk.globalblue,Global Blue – Shop Tax Free,Global Blue SA,"1,000,000+",,0,,Travel & Local,False,not_ng_insurance
Turaco insurance,pl.trco,TRCO,TRCO,"1,000+",,0,,Travel & Local,False,not_ng_insurance
Gari motor insurance,com.godigit.digit,Digit Insurance,Digit Insurance,"5,000,000+",,0,,Finance,False,not_ng_insurance
Hobbiton insurance,hobbiton_tech.inshuwa_clients_app.nico,NICO Insurance Zambia,Hobbiton,"1,000+",,0,,Finance,False,not_ng_insurance
MyNHIA,com.nmc.app.main,NMC MyHealth,NMC Assetco LTD,"100,000+",,0,,Health & Fitness,False,not_ng_insurance
National Health Insurance Authority,com.ngiapp,NGI Health,NATIONAL GENERAL INSURANCE COMPANY (PJSC),"10,000+",,0,,Lifestyle,False,not_ng_insurance
National Health Insurance Authority,com.hisptz.org.mobile.dashboard.nhp,National Health Portal,THE REGISTERED TRUSTEES OF HISP TANZANIA,"10,000+",,0,,Productivity,False,not_ng_insurance
motor insurance Nigeria,com.metrotrainbookinginindia,Vehicle Insurance Status Check,Nrspv Labs,"10,000+",,0,,Education,False,not_ng_insurance
life insurance Nigeria,com.cargoteleport.lifelic,Life Insurance License Prep,Cargo Teleport,100+,,0,,Education,False,not_ng_insurance
insurance claim Nigeria,com.gasanmamo.claims,Claim Easy,GasanMamo Insurance Ltd.,"1,000+",,0,,Business,False,not_ng_insurance
medical insurance Nigeria,com.itf.EPP,EPP Medical Insurance,IT-Fusion,10+,,0,,Medical,False,not_ng_insurance
travel insurance Nigeria,com.freely.prod,Freely Travel Insurance,Cover-More,"50,000+",,0,,Travel & Local,False,not_ng_insurance
